dataset,seed,method,method_key,ACC_old,ACC_new,ACC_overall,Balanced_ACC
a0910,42,CLEAN-LoRA,CLEAN-LoRA,0.7330109983529036,0.7194107864100736,0.7288079591761812,0.7289309347700547
a0910,84,G-NCDM,G-NCDM(Anchor),0.7333563572605069,,0.7333563572605069,
a0910,84,EWC,EWC,0.6719090377769513,0.6412449512948444,0.6624325415764162,0.6627098118323193
a0910,84,DER++,DER++,0.6928962329313001,0.6789617486338798,0.6885898894966775,0.6887158876420739
a0910,84,C-LoRA,C-LoRA,0.6732639073375485,0.6378593490140175,0.6623224053746466,0.6626425398404892
a0910,84,X-DER,X-DER,0.7276712183199617,0.6970776906628653,0.7182165277726789,0.7184931600228328
a0910,84,Full Replay Oracle,Full-Replay,0.7379788534084267,0.7349132810643858,0.7370314622416388,0.7370591817052145
a0910,84,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6956059720524945,0.7265977666904253,0.7051837438966189,0.7049035104438737
a0910,84,ICD,ICD,0.543976824655991,0.65,0.5767424581243954,0.5757837772591936
a0910,84,CLEAN-Full,CLEAN-Full,0.7333563572605069,0.7229151817533856,0.7301295935974155,0.7302240046083704
a0910,84,CLEAN-LoRA,CLEAN-LoRA,0.7333563572605069,0.7201829413162272,0.7292852160505158,0.7294043324772229
a0910,2,G-NCDM,G-NCDM(Anchor),0.7364380213591202,,0.7364380213591202,
a0910,2,EWC,EWC,0.6726263216619733,0.6432644333570919,0.6635522596277397,0.6638177551705089
a0910,2,DER++,DER++,0.6876361511078051,0.6777144214777857,0.68456991813209,0.6846596322187992
a0910,2,C-LoRA,C-LoRA,0.6761330428776366,0.641720123544785,0.6654979991923345,0.6658091670777811
a0910,2,X-DER,X-DER,0.7261835184102864,0.6995723449750535,0.7179595433018833,0.7182001663797165
